file, collected, visited, time
data/dev_set/002M , 1123, 1417, 82.732
data/dev_set/005 , 116, 116, 10.498
data/dev_set/006M , -1, -1, -1
data/dev_set/008 , 94, 109, 2.304
data/dev_set/010 , 57, 116, 2.435
data/dev_set/012 , 564, 945, 19.586
data/dev_set/013 , -1, -1, -1
data/dev_set/014 , 11079, 11269, 234.528
data/dev_set/015 , 520, 884, 20.443
data/dev_set/016 , 8117, 9124, 215.064
data/dev_set/017 , 119, 137, 3.536
data/dev_set/018 , 150, 377, 8.453
data/dev_set/019M , 924, 924, 22.928
data/dev_set/020 , 490, 521, 11.929
data/dev_set/021 , -1, -1, -1
data/dev_set/022 , 374, 521, 15.679
data/dev_set/023 , 173, 196, 5.412
data/dev_set/024 , 260, 284, 10.296
data/dev_set/025 , 630, 660, 16.832
data/dev_set/026M , -1, -1, -1
data/dev_set/028 , 3111, 4378, 92.427
data/dev_set/029 , 1359, 1634, 34.538
data/dev_set/030 , 496, 1548, 28.193
data/dev_set/031 , 1148, 2321, 44.73
data/dev_set/033 , 1059, 1275, 26.347
data/dev_set/034 , 864, 1050, 22.341
data/dev_set/035 , 1320, 1580, 32.884
data/dev_set/036 , 1016, 2372, 45.518
data/dev_set/037 , 824, 867, 18.618
data/dev_set/038 , 823, 867, 18.088
data/dev_set/039A , 2610, 2999, 68.54
data/dev_set/040 , 34, 132, 2.589
data/dev_set/041 , 742, 973, 19.714
data/dev_set/042 , 7757, 9594, 223.341
data/dev_set/043M , 584, 1140, 19.054
data/dev_set/045 , -1, -1, -1
data/dev_set/046AM , 5733, 11978, 151.673
data/dev_set/047M , 1970, 2029, 26.09
data/dev_set/048 , 273, 291, 3.766
data/dev_set/050 , 24, 222, 2.363
data/dev_set/051 , 168, 169, 2.34
data/dev_set/052 , 67, 68, 1.021
data/dev_set/053AM , 489, 521, 6.823
data/dev_set/054 , 1064, 2369, 25.418
data/dev_set/055AM , 924, 924, 11.773
data/dev_set/056A , 4735, 4737, 63.629
data/dev_set/057 , 1723, 1724, 21.832
data/dev_set/058M , 2889, 4004, 48.264
data/dev_set/059M , 76, 365, 4.044
data/dev_set/060 , 152, 169, 2.253
data/dev_set/062 , 120, 291, 3.318
data/dev_set/063A , 931, 1184, 14.511
data/dev_set/065M , 82, 3717, 36.463
data/dev_set/066 , 1647, 2548, 30.009
data/dev_set/068 , 88, 109, 1.368
data/dev_set/modified_cases/003-2 , 674, 921, 10.872
data/dev_set/modified_cases/005-2 , 33, 34, 0.556
data/dev_set/modified_cases/006-2 , -1, -1, -1
data/dev_set/modified_cases/019-2 , 924, 924, 13.02
data/dev_set/modified_cases/026-2 , 2255, 3445, 39.656
data/dev_set/modified_cases/053-2 , 260, 284, 3.512
data/dev_set/modified_cases/054-2 , 3900, 5884, 72.8
data/dev_set/modified_cases/055-2 , 68, 68, 0.966
data/recent_posts/001 , 355, 377, 4.842
data/recent_posts/003 , 122, 158, 2.148
data/recent_posts/004A , 564, 597, 7.147
data/recent_posts/005M , 65, 212, 3.281
data/recent_posts/007 , 3881, 5848, 72.565
data/recent_posts/009 , 18939, 19740, 277.124
data/recent_posts/011 , 1374, 1434, 18.472
data/recent_posts/012 , -1, -1, -1
data/recent_posts/013 , 16, 113, 1.398
data/recent_posts/014 , 83, 209, 3.411
data/recent_posts/016M , 384, 752, 8.573
data/recent_posts/017A , 1550, 1802, 21.924
data/recent_posts/019 , 34, 73, 1.037
data/recent_posts/021M , 484, 521, 6.786
data/recent_posts/022M , 2178, 2180, 27.653
data/recent_posts/025A , 260, 385, 4.353
data/recent_posts/028 , 490, 521, 6.601
data/recent_posts/031 , 264, 456, 5.365
data/recent_posts/032M , 2207, 2530, 30.171
data/recent_posts/034 , 297, 421, 4.891
data/recent_posts/036 , 508, 584, 6.776
data/recent_posts/038 , 0, 70, 0.848
data/recent_posts/039A , 2524, 2620, 34.953
data/recent_posts/040 , 460, 1177, 12.607
data/recent_posts/042 , 59, 73, 1.024
data/recent_posts/044M , 174, 209, 2.603
data/recent_posts/045 , 932, 1034, 12.541
data/recent_posts/050 , 60, 682, 6.852
data/recent_posts/051 , 384, 707, 7.825
data/top_rated_posts/001 , 244, 273, 3.641
data/top_rated_posts/002 , 1863, 1864, 22.735
data/top_rated_posts/003 , 54, 60, 0.821
data/top_rated_posts/004 , 442, 608, 7.219
data/top_rated_posts/005 , 1986, 2338, 29.071
data/top_rated_posts/006 , 155, 234, 2.755
data/top_rated_posts/007M , 3378, 7576, 88.275
data/top_rated_posts/008 , 8106, 9658, 122.056
data/top_rated_posts/009 , 156, 234, 2.747
data/top_rated_posts/010M , 36, 134, 1.49
data/top_rated_posts/011 , 564, 945, 10.659
data/top_rated_posts/012 , 8637, 9198, 127.81
data/top_rated_posts/013 , 174, 284, 3.518
data/top_rated_posts/014 , 244, 273, 3.399
data/top_rated_posts/016 , 400, 433, 5.408
data/top_rated_posts/017 , 306, 433, 4.997
data/top_rated_posts/018M , 479, 676, 8.181
data/top_rated_posts/019 , 178, 284, 3.374
data/top_rated_posts/021M , 2108, 3257, 38.266
data/top_rated_posts/027 , 156, 234, 2.717
data/top_rated_posts/028 , 1998, 2126, 26.896
data/top_rated_posts/029 , 448, 493, 5.986
data/top_rated_posts/030M , 480, 676, 8.077
data/top_rated_posts/031 , 124, 277, 3.039
data/top_rated_posts/032 , 58, 116, 1.367
data/top_rated_posts/034 , 498, 663, 7.507
data/top_rated_posts/036 , 301, 427, 4.997
data/top_rated_posts/037 , 155, 234, 2.724
data/top_rated_posts/038 , 1579, 1864, 23.303
data/top_rated_posts/039 , 102, 103, 1.327
data/top_rated_posts/040 , 738, 933, 11.838
data/top_rated_posts/043M , 259, 284, 4.063
data/top_rated_posts/044 , 32, 100, 1.138
data/top_rated_posts/045 , -1, -1, -1
data/top_rated_posts/047 , 3091, 4348, 53.583
data/top_rated_posts/048 , 155, 234, 2.712
data/top_rated_posts/049 , 244, 273, 3.446
data/top_rated_posts/051 , 497, 663, 7.911
data/top_rated_posts/054 , 356, 396, 4.714
data/top_rated_posts/055 , 4832, 5443, 70.447
data/top_rated_posts/057 , 1198, 1497, 16.885
