file, collected, visited, time
data/dev_set/002M , 1417, 1417, 0.606
data/dev_set/005 , 116, 116, 0.197
data/dev_set/006M , 10452, 10452, 1.509
data/dev_set/008 , 109, 109, 0.079
data/dev_set/010 , 116, 116, 0.127
data/dev_set/012 , 945, 945, 0.229
data/dev_set/013 , 802488, 802488, 93.512
data/dev_set/014 , 11269, 11269, 1.438
data/dev_set/015 , 884, 884, 0.269
data/dev_set/016 , 9124, 9124, 0.526
data/dev_set/017 , 137, 137, 0.168
data/dev_set/018 , 377, 377, 0.608
data/dev_set/019M , 924, 924, 0.302
data/dev_set/020 , 521, 521, 0.186
data/dev_set/021 , 14981, 14981, 1.845
data/dev_set/022 , 521, 521, 0.23
data/dev_set/023 , 196, 196, 0.111
data/dev_set/024 , 284, 284, 0.16
data/dev_set/025 , 660, 660, 0.231
data/dev_set/026M , 13359, 13359, 1.667
data/dev_set/028 , 4378, 4378, 0.733
data/dev_set/029 , 1634, 1634, 0.374
data/dev_set/030 , 1548, 1548, 0.307
data/dev_set/031 , 2321, 2321, 0.393
data/dev_set/033 , 1275, 1275, 0.499
data/dev_set/034 , 1050, 1050, 0.271
data/dev_set/035 , 1580, 1580, 0.519
data/dev_set/036 , 2372, 2372, 0.373
data/dev_set/037 , 867, 867, 0.288
data/dev_set/038 , 867, 867, 0.29
data/dev_set/039A , 2999, 2999, 0.756
data/dev_set/040 , 132, 132, 0.141
data/dev_set/041 , 973, 973, 0.214
data/dev_set/042 , 9594, 9594, 0.892
data/dev_set/043M , 1140, 1140, 0.523
data/dev_set/045 , -1, -1, -1
data/dev_set/046AM , 11978, 11978, 4.931
data/dev_set/047M , 2029, 2029, 0.564
data/dev_set/048 , 291, 291, 0.234
data/dev_set/050 , 222, 222, 0.184
data/dev_set/051 , 169, 169, 0.21
data/dev_set/052 , 68, 68, 0.123
data/dev_set/053AM , 521, 521, 0.216
data/dev_set/054 , 2369, 2369, 0.415
data/dev_set/055AM , 924, 924, 0.309
data/dev_set/056A , 4737, 4737, 0.43
data/dev_set/057 , 1724, 1724, 0.677
data/dev_set/058M , 4004, 4004, 0.55
data/dev_set/059M , 365, 365, 0.284
data/dev_set/060 , 169, 169, 0.176
data/dev_set/062 , 291, 291, 0.246
data/dev_set/063A , 1184, 1184, 0.367
data/dev_set/065M , 3717, 3717, 0.389
data/dev_set/066 , 2548, 2548, 0.423
data/dev_set/068 , 109, 109, 0.085
data/dev_set/modified_cases/003-2 , 921, 921, 0.215
data/dev_set/modified_cases/005-2 , 34, 34, 0.127
data/dev_set/modified_cases/006-2 , 27257, 27257, 2.533
data/dev_set/modified_cases/019-2 , 924, 924, 0.323
data/dev_set/modified_cases/026-2 , 3445, 3445, 0.415
data/dev_set/modified_cases/053-2 , 284, 284, 0.144
data/dev_set/modified_cases/054-2 , 5884, 5884, 0.587
data/dev_set/modified_cases/055-2 , 68, 68, 0.074
data/recent_posts/001 , 377, 377, 0.289
data/recent_posts/003 , 158, 158, 0.205
data/recent_posts/004A , 597, 597, 0.211
data/recent_posts/005M , 212, 212, 0.452
data/recent_posts/007 , 5848, 5848, 1.126
data/recent_posts/009 , 19740, 19740, 1.778
data/recent_posts/011 , 1434, 1434, 0.266
data/recent_posts/012 , 42272, 42272, 3.402
data/recent_posts/013 , 113, 113, 0.102
data/recent_posts/014 , 209, 209, 0.756
data/recent_posts/016M , 752, 752, 0.223
data/recent_posts/017A , 1802, 1802, 0.431
data/recent_posts/019 , 73, 73, 0.215
data/recent_posts/021M , 521, 521, 0.275
data/recent_posts/022M , 2180, 2180, 0.356
data/recent_posts/025A , 385, 385, 0.184
data/recent_posts/028 , 521, 521, 0.255
data/recent_posts/031 , 456, 456, 0.193
data/recent_posts/032M , 2530, 2530, 0.484
data/recent_posts/034 , 421, 421, 0.139
data/recent_posts/036 , 584, 584, 0.147
data/recent_posts/038 , 70, 70, 0.097
data/recent_posts/039A , 2620, 2620, 0.427
data/recent_posts/040 , 1177, 1177, 0.799
data/recent_posts/042 , 73, 73, 0.129
data/recent_posts/044M , 209, 209, 0.137
data/recent_posts/045 , 1034, 1034, 0.209
data/recent_posts/050 , 682, 682, 0.356
data/recent_posts/051 , 707, 707, 0.172
data/top_rated_posts/001 , 273, 273, 0.135
data/top_rated_posts/002 , 1864, 1864, 0.438
data/top_rated_posts/003 , 60, 60, 0.052
data/top_rated_posts/004 , 608, 608, 0.191
data/top_rated_posts/005 , 2338, 2338, 0.464
data/top_rated_posts/006 , 234, 234, 0.168
data/top_rated_posts/007M , 7576, 7576, 1.814
data/top_rated_posts/008 , 9658, 9658, 0.922
data/top_rated_posts/009 , 234, 234, 0.121
data/top_rated_posts/010M , 134, 134, 0.146
data/top_rated_posts/011 , 945, 945, 0.223
data/top_rated_posts/012 , 9198, 9198, 1.479
data/top_rated_posts/013 , 284, 284, 0.126
data/top_rated_posts/014 , 273, 273, 0.108
data/top_rated_posts/016 , 433, 433, 0.164
data/top_rated_posts/017 , 433, 433, 0.161
data/top_rated_posts/018M , 676, 676, 0.284
data/top_rated_posts/019 , 284, 284, 0.114
data/top_rated_posts/021M , 3257, 3257, 0.669
data/top_rated_posts/027 , 234, 234, 0.118
data/top_rated_posts/028 , 2126, 2126, 0.501
data/top_rated_posts/029 , 493, 493, 0.165
data/top_rated_posts/030M , 676, 676, 0.273
data/top_rated_posts/031 , 277, 277, 0.128
data/top_rated_posts/032 , 116, 116, 0.123
data/top_rated_posts/034 , 663, 663, 0.221
data/top_rated_posts/036 , 427, 427, 0.186
data/top_rated_posts/037 , 234, 234, 0.137
data/top_rated_posts/038 , 1864, 1864, 0.477
data/top_rated_posts/039 , 103, 103, 0.075
data/top_rated_posts/040 , 933, 933, 0.239
