file, collected, visited, time
data/dev_set/002M , 632, 1417, 3.468
data/dev_set/005 , 89, 116, 0.497
data/dev_set/006M , 1934, 10452, 7.025
data/dev_set/008 , 68, 109, 0.292
data/dev_set/010 , 42, 116, 0.31
data/dev_set/012 , -1, -1, -1
data/dev_set/013 , -1, -1, -1
data/dev_set/014 , 5478, 11269, 6.223
data/dev_set/015 , 92, 884, 0.993
data/dev_set/016 , 0, 9124, 2.747
data/dev_set/017 , 62, 137, 0.327
data/dev_set/018 , 84, 377, 2.129
data/dev_set/019M , 860, 924, 1.247
data/dev_set/020 , 352, 521, 0.567
data/dev_set/021 , 6070, 14981, 10.806
data/dev_set/022 , 240, 521, 0.843
data/dev_set/023 , 97, 196, 0.445
data/dev_set/024 , 116, 284, 0.536
data/dev_set/025 , 389, 660, 0.946
data/dev_set/026M , 4691, 13359, 7.621
data/dev_set/028 , 1380, 4378, 6.324
data/dev_set/029 , 825, 1634, 2.001
data/dev_set/030 , 20, 1548, 1.327
data/dev_set/031 , 36, 2321, 1.503
data/dev_set/033 , 661, 1275, 2.89
data/dev_set/034 , 563, 1050, 0.858
data/dev_set/035 , 789, 1580, 3.154
data/dev_set/036 , 158, 2372, 1.479
data/dev_set/037 , 567, 867, 1.363
data/dev_set/038 , 567, 867, 1.427
data/dev_set/039A , 427, 2999, 13.918
data/dev_set/040 , 22, 132, 0.333
data/dev_set/041 , 450, 973, 0.718
data/dev_set/042 , 4389, 9594, 3.768
data/dev_set/043M , 236, 1140, 3.127
data/dev_set/045 , -1, -1, -1
data/dev_set/046AM , 1456, 11978, 14.023
data/dev_set/047M , 1261, 2029, 2.249
data/dev_set/048 , 185, 291, 0.389
data/dev_set/050 , 0, 222, 0.32
data/dev_set/051 , 141, 169, 0.375
data/dev_set/052 , 57, 68, 0.222
data/dev_set/053AM , 320, 521, 0.598
data/dev_set/054 , 46, 2369, 1.756
data/dev_set/055AM , 769, 924, 0.862
data/dev_set/056A , 4194, 4737, 1.403
data/dev_set/057 , 1135, 1724, 2.555
data/dev_set/058M , 1172, 4004, 2.256
data/dev_set/059M , 0, 365, 0.667
data/dev_set/060 , 125, 169, 0.351
data/dev_set/062 , 4, 291, 0.335
data/dev_set/063A , 304, 1184, 1.191
data/dev_set/065M , 0, 3717, 1.065
data/dev_set/066 , 662, 2548, 1.58
data/dev_set/068 , 16, 109, 0.179
data/dev_set/modified_cases/003-2 , 394, 921, 0.542
data/dev_set/modified_cases/005-2 , 22, 34, 0.247
data/dev_set/modified_cases/006-2 , 6899, 27257, 10.885
data/dev_set/modified_cases/019-2 , 852, 924, 0.821
data/dev_set/modified_cases/026-2 , 818, 3445, 1.455
data/dev_set/modified_cases/053-2 , 140, 284, 0.354
data/dev_set/modified_cases/054-2 , 114, 5884, 2.414
data/dev_set/modified_cases/055-2 , 68, 68, 0.121
data/recent_posts/001 , 0, 377, 0.554
data/recent_posts/003 , 8, 158, 0.441
data/recent_posts/004A , 353, 597, 0.492
data/recent_posts/005M , 42, 212, 0.773
data/recent_posts/007 , 756, 5848, 3.733
data/recent_posts/009 , 4018, 19740, 5.805
data/recent_posts/011 , 199, 1434, 4.186
data/recent_posts/012 , -1, -1, -1
data/recent_posts/013 , 4, 113, 0.161
data/recent_posts/014 , 2, 209, 1.453
data/recent_posts/016M , 172, 752, 0.482
data/recent_posts/017A , 1060, 1802, 1.358
data/recent_posts/019 , 26, 73, 0.397
data/recent_posts/021M , 298, 521, 0.711
data/recent_posts/022M , 1285, 2180, 1.046
data/recent_posts/025A , 136, 385, 0.468
data/recent_posts/028 , 302, 521, 0.731
data/recent_posts/031 , 122, 456, 0.278
data/recent_posts/032M , 844, 2530, 1.836
data/recent_posts/034 , 178, 421, 0.274
data/recent_posts/036 , 24, 584, 0.268
data/recent_posts/038 , 0, 70, 0.161
data/recent_posts/039A , 0, 2620, 4.365
data/recent_posts/040 , 182, 1177, 1.437
data/recent_posts/042 , 30, 73, 0.234
data/recent_posts/044M , 94, 209, 0.212
data/recent_posts/045 , 0, 1034, 0.565
data/recent_posts/050 , 0, 682, 0.703
data/recent_posts/051 , 50, 707, 0.505
data/top_rated_posts/001 , -1, -1, -1
data/top_rated_posts/002 , 1444, 1864, 1.066
data/top_rated_posts/003 , 29, 60, 0.134
data/top_rated_posts/004 , 242, 608, 0.386
data/top_rated_posts/005 , 1692, 2338, 1.619
data/top_rated_posts/006 , 92, 234, 0.426
data/top_rated_posts/007M , 978, 7576, 6.031
data/top_rated_posts/008 , 216, 9658, 2.992
data/top_rated_posts/009 , 92, 234, 0.212
data/top_rated_posts/010M , 24, 134, 0.283
data/top_rated_posts/011 , -1, -1, -1
data/top_rated_posts/012 , 5321, 9198, 5.409
data/top_rated_posts/013 , 40, 284, 0.305
data/top_rated_posts/014 , 99, 273, 0.215
data/top_rated_posts/016 , 129, 433, 2.165
data/top_rated_posts/017 , 162, 433, 0.337
data/top_rated_posts/018M , 184, 676, 0.843
data/top_rated_posts/019 , 108, 284, 0.236
data/top_rated_posts/021M , 822, 3257, 3.044
data/top_rated_posts/027 , 92, 234, 0.25
data/top_rated_posts/028 , -1, -1, -1
data/top_rated_posts/029 , -1, -1, -1
data/top_rated_posts/030M , 184, 676, 0.947
data/top_rated_posts/031 , 72, 277, 0.311
data/top_rated_posts/032 , 4, 116, 0.234
data/top_rated_posts/034 , 286, 663, 0.829
data/top_rated_posts/036 , 182, 427, 0.42
data/top_rated_posts/037 , 92, 234, 0.313
data/top_rated_posts/038 , 480, 1864, 1.37
data/top_rated_posts/039 , 90, 103, 0.149
data/top_rated_posts/040 , 408, 933, 0.614
data/top_rated_posts/043M , 116, 284, 0.362
data/top_rated_posts/044 , 24, 100, 0.143
data/top_rated_posts/045 , 33424, 36785, 11.791
data/top_rated_posts/047 , 1276, 4348, 2.316
data/top_rated_posts/048 , 92, 234, 0.309
data/top_rated_posts/049 , -1, -1, -1
data/top_rated_posts/051 , 286, 663, 0.869
data/top_rated_posts/054 , 20, 396, 0.303
data/top_rated_posts/055 , 687, 5443, 5.223
data/top_rated_posts/057 , 406, 1497, 1.797
